"2","Will the hive survive, will the gladiolas
Succeed in banking their fires"
"2","The face in the pool was beautiful, but not mine—"
"6","Exudes from its dead boredom."
"3","Beasts of oasis, a better time."
"2","It wasn't for any lack of mother-love."
"2","I have seen the white clean chamber with its instruments."
"3","Make houses shrink"
"7","It is like a Roman mob,"
"3","Of cerise and pink from the rhododendron,"
"3","On crumbs of shadow,
Bland-mannered, asking
Little or nothing."
"3","Toward the pool-mouth, perhaps to
Meet the thin and sluggish thread"
"6","The Jailer
My night sweats grease his breakfast plate."
"2","From my rented attic with no earth
To call my own except the air-motes,"
"3","Drum of my sleeping couch
Photographs visit me
My wife, dead and flat, in 1920 furs,"
"6","She is crying through the glass that separates us."
"3","I am lame in the memory."
"9","I trespass stupidly. Let be, let be."
"4","Jade—
Stone of the side,"
"1","I heard the Denver and Rio Grande locomotives howling off in to the mountains. I wanted to pursue my star further."
"4","Don't use the phone. People are never ready to answer it. Use poetry..."
"5","Allow me my soul somehow, yet love me."
"4","beautiful insane in the rain..."
"7","The human bones are but vain lines dawdling, the whole universe a blank mold of stars..."
"2","Ray, what you got to do is go climb a mountain..."
"4","Live, travel, adventure, bless, and don't be sorry."
"6","The face of yourself you see in the mirror with its expression of unbearable anguish so haggard and awful with sorrow you can't even cry..."
"3","Mankind is like dogs, not gods - as long as you don't get mad they'll bite you - but stay mad and you'll never be bitten."
"5","My soul began its first sink into her, deep, heady, lost; like drowning in a witches' brew, Keltic, sorcerous, starlike."
"4","The world being just what it is, moving and passing through."
"6","... years of drunken hopelessness which is a physical and spiritual and metaphysical hopelessness you can't learn in school..."
"9","... bedcribs of the moon to see it all even unto the goddamned last gory detail of some dismal robbery of the heart at dawn."
"3","... becoming a writer holds no interest for him because life is so holy for him there's no need to do anything but live it..."
"9","Feeling completely indifferent to good and evil too, to beauty or anything else."
"4","I had nothing to offer anybody except my own confusion."
"6","There's nothing to be afraid of and nothing to be glad about."
"5","I just lay there looking at the pictures that were fading slowly like in a movie fadeout into the recesses of my subconscious mind."
"8","In a sense, I'm mad (and withdrawn from life) while they're sane, human, normal..."
"6","Nobody can get to that last thing. We keep on living in hopes of catching it once and for all."
"7","Your strength is nothing. You cannot beat them: give up."
"6","What are we doing here, and why are our hearts invisible?"
"3","I am the shape you made me.
Filth teaches filth."
"6","Your voice I know. It had me terrified."
